     iTemp [Celsius]         iTemp [Raw]     oTemp [Celsius]         oTemp [Raw]     Delta [Celsius]         Delta [Raw]
                 -90                   0                   0            -8541.39                  90             8541.39
                 -70               -6731            -71.8501            -6549.08             1.85006              181.92
                 -60               -5716            -61.4654            -5573.97             1.46537              142.03
                 -50               -4721            -51.1356             -4612.5             1.13557             108.505
                 -45               -4231             -45.993            -4136.78            0.993048             94.2171
                 -40               -3744            -40.8452            -3664.37            0.845208             79.6263
                 -35               -3261             -35.703            -3195.23            0.703017             65.7665
                 -30               -2784            -30.5885            -2729.33            0.588516             54.6716
                 -25               -2310            -25.4702            -2266.63            0.470176             43.3749
                 -20               -1840            -20.3592            -1807.09            0.359214             32.9093
                 -15               -1375            -15.2672            -1350.69            0.267157             24.3072
                 -10                -911            -10.1505            -897.399            0.150517             13.6006
                  -5                -455            -5.08715            -447.179           0.0871498             7.82119
                   0                   0                   0                   0                   0                   0
                   5                 450             5.06588             444.168           0.0658781             5.83222
                  10                 897             10.1324             885.355            0.132432             11.6452
                  15                1340             15.1879             1323.59            0.187867             16.4089
                  20                1779             20.2316             1758.91            0.231606              20.094
                  25                2214             25.2631             2191.33            0.263062             22.6713
                  30                2647              30.305             2620.89            0.305011              26.112
                  35                3077             35.3456             3047.61            0.345562             29.3879
                  40                3501             40.3488             3471.53            0.348829             29.4709
                  45                3923             45.3614             3892.67            0.361407             30.3335
                  50                4342             50.3712             4311.05            0.371157             30.9483
                  55                4757             55.3656             4726.71             0.36562             30.2885
                  60                5168             60.3442             5139.67            0.344176             28.3276
                  65                5577             65.3307             5549.96            0.330657             27.0394
                  70                5984             70.3249              5957.6            0.324904             26.3979
                  75                6385             75.2772             6362.62            0.277194             22.3777
                  80                6784             80.2363             6765.05            0.236285             18.9535
                  85                7179             85.1769              7164.9            0.176907             14.1006
                  90                7573             90.1363             7562.21            0.136288             10.7942
                  95                7962             95.0637             7956.99           0.0636599             5.01022
                 100                8349             99.9965             8349.28          0.00352071            0.275351
                 105                8732             104.909             8739.09           0.0911745             7.08615
                 110                9112             109.813             9126.45            0.187027             14.4455
                 120                9866             119.634              9893.9            0.365766             27.9019
                 130               10606             129.392             10651.8            0.608166             45.8254
                 140               11336             139.135             11400.4            0.865092             64.3926
                 150               12057             148.874             12139.8             1.12566             82.7757
                 160               12763             158.525             12870.1             1.47464             107.143
                 170               13462             168.194             13591.7               1.806             129.658
                 180               14150             177.823             14304.5             2.17743              154.48
                 190               14827             187.408             15008.8             2.59238             181.766
                 200               15496             196.989             15704.7             3.01109             208.669
